id,x,y,ndvi,ndbi,lst,elevation,rainfall,distance_to_water,population
12,500105.0,2598725.0,-0.016099310489466268,0.05105851046112126,-0.028666197031981606,-0.03436132439987128,0.11180806589811143,0.26260959669917217,0.036132049020761184
14,501545.0,2598785.0,-0.011514327082666018,0.01006068618225658,0.015469221904539712,0.05269939526742385,0.04195926799566832,0.2854242782603212,-0.01265028221230357
16,502835.0,2598545.0,-0.009843042384252838,-0.015009760256280735,0.013743408057752959,-0.029550681526705612,-0.10395849560058748,0.19369461027830037,-0.015696565678371938
18,501065.0,2598605.0,-0.014185611005193322,0.052800276714355734,-0.06445093481383271,0.05819294232217806,0.0763056922455138,0.3407611205350577,0.007205754336396626
29,502475.0,2597555.0,0.0025359933327883076,-0.02542425958520362,0.0022249591210567205,-0.030631097490651644,-0.03955577426572797,-0.04029068355240352,0.00025101722979668426
30,500405.0,2598245.0,-0.0017144466983839072,0.09117861104635987,0.05428835632379169,0.08932261452536372,0.12634677160109145,0.2135279161320119,0.048467409585614615
38,501365.0,2597675.0,-0.011238284260370846,0.009588903350135966,0.025295685219125588,-0.020852546183662047,-0.057270367305191236,-0.06978406664688416,-0.015592539754957451
47,501905.0,2599835.0,-0.0006158562896634998,-0.004406854934790863,0.032980995350646865,0.07466443307108916,0.05395913572596707,0.0018118295714673136,0.02739624298864055
53,501395.0,2598335.0,-0.030596993052718378,-0.054538508118091654,-0.012811202540214485,-0.07563750845279574,0.030225404259829263,0.004927028903381593,-0.01800021523717965
80,500525.0,2599085.0,-0.012621037011968515,-0.042388807011124664,0.019196298729864263,-0.10372943744878539,0.06197153230781358,-0.07318384787953623,-0.012360515372577653
83,501185.0,2599055.0,-0.02750174091024023,0.0016014206039426803,-0.15175394627259917,-0.09148370212375742,0.026756895977198453,0.005001171395049514,-0.027900858520854967
98,501725.0,2598815.0,-0.013552276578111132,-0.047445998782469245,0.013468147404158035,0.06524724146925635,0.034814369034978726,0.22642343202888482,-0.013404459482771719
112,501305.0,2598725.0,0.18212153268800932,0.10439569035239153,-0.02522567595531975,0.019449174025234134,0.015270494650765664,0.22970807285958558,0.08832445223188176
118,500195.0,2598665.0,0.025029547312196972,0.08720041910673171,0.0035090394306181963,-0.020736111902420393,0.13744415147873734,0.3012828334680954,0.07849832043285684
119,502145.0,2598125.0,0.0596360082780635,0.019750650411241032,0.05156751685106986,-0.06014634358460303,0.032628715740569685,-0.09793825604804071,0.0101476344091304
120,501395.0,2597735.0,-0.026904940522932835,-0.008571043600005584,0.008186192692851053,-0.04479383197214497,-0.05731743159877157,-0.07714847556085247,-0.017452965886139975
124,501305.0,2598455.0,-0.02795295557600556,-0.06252817547611327,-0.060144036007132855,-0.054635751693476016,-0.0022214262454100893,0.08090258675307842,-0.01798600046956702
141,502895.0,2598155.0,-0.0209457048759524,-0.059098125206719816,0.0013202728979971156,-0.0801203662860297,-0.06049472108287563,0.003466061715056178,-0.019128744027420364
