observation,feature,value,shap
1138,distance_to_water,0.0,0.24949215230253138
1138,ndvi,-0.2053426057100296,0.19063892588755593
1138,ndbi,-0.4209196269512176,0.13479453077658876
1138,population,0.0,0.08535200103317757
1138,elevation,0.5,0.08224041514742861
1138,lst,26.231414794921875,-0.021177193078945868
1138,rainfall,1588.4425048828125,-0.020847130284934453
2248,rainfall,1585.317626953125,-0.1150118505407357
2248,distance_to_water,977.1898193359376,-0.09137758819092831
2248,lst,27.262813568115234,-0.06881452608894185
2248,ndvi,0.6679988503456116,-0.024259328568098124
2248,elevation,7.192568302154541,0.013542984611994893
2248,ndbi,-0.1479497104883194,-0.01353921207610032
2248,population,115.08242797851562,0.005523076408364357
38,distance_to_water,859.0692749023438,-0.06978406664688416
38,rainfall,1709.86865234375,-0.057270367305191236
38,lst,28.49612617492676,0.025295685219125588
38,elevation,18.492361068725582,-0.020852546183662047
38,population,332.3666381835937,-0.015592539754957451
38,ndvi,0.5654670596122742,-0.011238284260370846
38,ndbi,-0.1307131499052047,0.009588903350135966
